,title,link
110,TAMPA BAY BUCCANEERS’ CHRIS GODWIN WILLING TO GIVE TOM BRADY NUMBER 12 ‘OUT OF RESPECT’ FOR LEGENDARY CAREER,https://www.foxnews.com/sports/tampa-bay-buccaneers-chris-godwin-tom-brady-12-jersey
111,Teams,https://247sports.com/League/NCAA-FB/Teams/
112,Supplier Diversity,https://supplierdiversity.foxnews.com/
113,Detroit Lions,https://www.foxnews.com/category/sports/nfl/detroit-lions
114,Supplier Diversity,https://supplierdiversity.foxnews.com/
115,coronavirus,https://www.foxnews.com/category/health/infectious-disease/coronavirus
116,Advertising,https://www.google.com.np/intl/en_us/ads/?subid=ww-ww-et-g-awa-a-g_hpafoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpafooter&fg=1
117,Women's Business Enterprises National Council (WBENC) regional councils,https://www.wbenc.org/
118,VIDEO,https://video.foxnews.com/v/
119,CBS Sports,https://cbssports.com/
120,Flipboard,https://flipboard.com/@FoxNews
121,Iran's leader points to coronavirus as reason for US to lift sanctions,https://video.foxnews.com/v/6143456938001/
122,Florida,https://www.foxnews.com/category/us/us-regions/southeast/florida
123,Our stories,https://abc.xyz/investor/founders-letters/2004/ipo-letter.html#_ga=2.165626872.610004439.1532311821-929489725.1521479135
124,"Dr. George Diaz, Section Chief of Infectious Diseases at Providence Regional Medical Center Everett, and Fox News medical contributor, Dr. Marty Makary, join ‘America’s News HQ.’",https://video.foxnews.com/v/6143695263001/
125,CBS Sports,https://cbssports.com/
126,NEW YORK GIANTS SAQUON BARKLEY SHOWS INCREDIBLE STRENGTH IN ‘QUARANTINE’ WORKOUT AMID CORONAVIRUS PANDEMIC,https://www.foxnews.com/sports/giants-saquon-barkley-incredible-strength-quarantine-workout
127,Our stories,https://www.blog.google/products/g-suite/icymi-april-heres-what-happened-g-suite/
128,Sen. Gardner under self-quarantine: Our obligation is to reset economy during health crisis,https://video.foxnews.com/v/6143669925001/
